Status Code,Successful URL
200,https://ad.doubleclick.net/ddm/ad/N3577.2100704VIVAKI-TRIPLELIFT/B9428917.128765132;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N6049.1355588.DOUBLECLICK.COMBID/B9607545.130418725;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/trackimp/N4827.150834TURN/B9333272.127018752;dc_trk_aid=300237155;dc_trk_cid=68021834;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N7914.124997.GOOGLESEARCH/B9347243.127224266;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N2949.1264338.TRIPLELIFTINC/B8719817.118168818;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/trackimp/N2724.1264338TRIPLELIFTINC/B9289660.126448591;dc_trk_aid=299592702;dc_trk_cid=67479092;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN346/B8482945.129321283;dc_trk_aid=302262980;dc_trk_cid=69294732;ord=timestamp?
200,http://bs.serving-sys.com/BurstingPipe/adServer.bs?cn=tf&c=19&mc=imp&pli=16412338&PluID=0&ord=${CACHEBUSTER}&rtu=-1
200,https://ad.doubleclick.net/ddm/ad/N69702.279382DBMACCUEN398918777-/B9355888.128352167;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/trackimp/N6036.1264338TRIPLELIFTINC/B9331301.129110726;dc_trk_aid=302440175;dc_trk_cid=69417544;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N9515.1264338TRIPLELIFTINC2/B8453948.128925484;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,http://ad.doubleclick.net/ddm/ad/N2949.1264338.TRIPLELIFTINC/B8719817.118168820;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N5359.1264338TRIPLELIFTINC/B9308220.129740693;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N9407.127315CENTRO/B9334131.130360984;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N9515.1264338TRIPLELIFTINC2/B8454149.121761721;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N8893.1264338TRIPLELIFTINC/B8660875.121208186;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N5667.1355588DOUBLECLICK.COMBIDM/B8431823.122509839;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/trackimp/N5983.1264338TRIPLELIFTINC/B8770009.119270550;dc_trk_aid=292310384;dc_trk_cid=63651202;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N950.131803TURNINC./B9128285.124173809;sz=1x1;ord=timestamp?
200,https://beacon.walmart.com/vm/ttap.gif?id=10695063&channel=walmart&creative=Braun7790routines&destination=productpage&size=variable&idea=wmeh&type=native&network=sraxvendor_xntl&device=mixed
200,https://718-img.c3tag.com/v.gif?c3ch=Display&c3nid=MF_RT_native
200,https://ad.doubleclick.net/ddm/trackimp/N5622.1264338TRIPLELIFTINC/B8431096.124872448;dc_trk_aid=299485960;dc_trk_cid=67748135;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N5688.2093103DBM1/B8867406.125114011;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N117602.288332ACCUEN/B9113231.124167383;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/ad/N6451.147350.AOD.COM/B9325060.126950032;sz=1x1;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
200,https://ad.doubleclick.net/ddm/ad/N5664.132180.GAYADNETWORK/B8945681.121292516;sz=1x1;ord=timestamp?
200,https://ad.doubleclick.net/ddm/trackimp/N4694.IPN346/B9397367.127821536;dc_trk_aid=300836586;dc_trk_cid=68492460;ord=timestamp;dc_lat=;dc_rdid=;tag_for_child_directed_treatment=?
